metric,value
weights,models/best.pt
data,data/processed/sh17/data.yaml
split,val
device,mps
precision_mean,0.628241381497672
recall_mean,0.5216791515644204
mAP50,0.5428432354919606
mAP50_95,0.3361606905086988
inference_time_ms,2.391110958724087
mAP50/person,0.8875022653992792
mAP50/ear,0.7261392559682431
mAP50/ear-mufs,0.19429802959949305
mAP50/face,0.8905164692652245
mAP50/face-guard,0.3777716766388749
mAP50/face-mask,0.6146868108516254
mAP50/foot,0.10216335219064149
mAP50/tool,0.2791294338781348
mAP50/glasses,0.5585018434770567
mAP50/gloves,0.46991272399249095
mAP50/helmet,0.660955224234921
mAP50/hands,0.8255612287611112
mAP50/head,0.8941608586530323
mAP50/medical-suit,0.49336719360744297
mAP50/shoes,0.5349346899957299
mAP50/safety-suit,0.28750870290167624
mAP50/safety-vest,0.4312252439483514
